county,jurisdiction,level,status,action_type,covers,duration_label,duration_days,adopted_date,effective_date,expiration_date,expiration_is_inferred,rationale,source_url,source_org,confidence,in_source_doc,revised_from_source_doc,notes
Madison,Madison County,county,none,no action found; prior moratorium expired,data centers,,,,,,,,,Madison County NC minutes index (negative evidence),high,TRUE,TRUE,"RESOLVED 2026-08-28 — the '3-year moratorium' is MADISON COUNTY, ARKANSAS (Madison County Record, Huntsville AR; 'JPs vote 8-0' — Justices of the Peace, an Arkansas quorum court; NC counties have 5-member boards and no JPs). A secondary contaminant is Madison County, INDIANA. Madison County NC adopted a 1-year moratorium on data processing facilities ~2023-06-13 which expired ~June 2024 unrenewed; its planning board minutes index ends July 2024 and no 2026 data center item appears in commissioners minutes through May 2026."
Martin,Martin County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
McDowell,McDowell County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Mecklenburg,Mecklenburg County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Mecklenburg,City of Charlotte,municipal,adopted,moratorium,data centers (projects already in the development pipeline exempt),150 days,150,2026-06-08,,2026-11-05,FALSE,"Council wanted to 'review and understand and align on the facts' before setting growth policy; electricity costs and rates, water usage and noise raised around a proposed American Towers facility.",https://www.wfae.org/politics/2026-06-08/charlotte-city-council-approves-150-day-data-center-moratorium,WFAE / Axios Charlotte,high,TRUE,TRUE,Source URL and exact dates added. Unanimous vote. Source doc's June 2026 / ends November 2026 confirmed.
Mitchell,Mitchell County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Montgomery,Montgomery County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Moore,Moore County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Multiple (Qualla Boundary),Eastern Band of Cherokee Indians,tribal,adopted,moratorium,data centers (tribal-run data storage exempt),indefinite,,2026-05-07,,none (indefinite),,Tribal Council cited environmental and water-quality concerns tied to nearby data centers and alignment with EBCI's 'rights of nature' resolution recognizing 790 miles of rivers as living entities; Council member Shennelle Feather framed protecting natural resources as essential to Cherokee identity.,https://www.whqr.org/2026-05-07/ebci-passes-indefinite-moratorium-on-data-centers,WHQR,high,TRUE,TRUE,"Source URL and exact date added. Qualla Boundary spans parts of Swain, Jackson, Haywood, Graham and Cherokee counties. Only indefinite-duration action in the dataset."
Nash,Nash County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Nash,Town of Bailey,municipal,unverified,"moratorium (claimed, single-source)",data centers,10 months (claimed),304,2026-05-18,,2027-03-18,TRUE,,https://mjbommar.github.io/moratorium-data-2026/states/north-carolina.html,Moratorium Nation tracker (single source),low,FALSE,TRUE,"NOT IN SOURCE DOC and NOT CORROBORATED. Claimed only by one tracker; no news coverage found in any outlet. Bailey is a town of ~600 in Nash County, so an absence of coverage is plausible rather than disqualifying. DO NOT CITE without confirmation."
Nash,Town of Spring Hope,municipal,adopted,moratorium,data centers,1 year,365,2026-05-04,,2027-05-04,TRUE,Not directly quoted in accessible sources; regional coverage attributes it to the same wave of utility-rate and environmental concerns as neighboring jurisdictions.,https://www.springhopeenterprise.com/news/spring-hope-passes-data-center-moratorium-a007897a,Spring Hope Enterprise,medium,TRUE,TRUE,"Source URL and exact date added. Primary article text was unreachable (robots.txt); date and duration cross-validated by two independent trackers, so rationale is not directly sourced."
New Hanover,New Hanover County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Northampton,Northampton County,county,adopted,moratorium,data centers,32 months,974,2026-05-04,,2029-01-04,TRUE,"Time to amend the zoning code and study impacts; protect rural and agricultural land and aquifers/substations from strain, and rebuild resident trust after past lack of transparency on industrial projects.",https://www.northcarolinahealthnews.org/2026/05/08/northampton-data-center-moratorium/,NC Health News,medium,TRUE,TRUE,"32 months adopted 2026-05-04, unanimous — the 12-to-32-month change was made ON THE FLOOR, so the written expiration may not equal adoption+32 months. THE 2029-01-04 DATE IS UNVERIFIED AND SHOULD NOT BE STATED AS FACT. Northampton publishes BOCC minutes only as ~6-month compilations; the newest covers Jul-Dec 2025, so May 2026 minutes likely will not appear until early 2027, and its DocumentCenter holds no ordinances. A public-records request to the Clerk to the Board is the ONLY route. Note: Moratorium Nation also reports 2029-01-04, but that is derived arithmetic, not independent confirmation. LONGEST MORATORIUM IN NORTH CAROLINA."
Onslow,Onslow County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Orange,Orange County,county,adopted,moratorium,large-scale data centers,1 year,365,2026-04-22,,2027-04-22,TRUE,"Assess environmental impacts including water supply and watershed protection; advance updates to the county's Unified Development Ordinance, which does not define data centers.",https://www.wunc.org/environment/2026-04-22/orange-county-moratorium-data-centers,WUNC / Orange County (official),high,TRUE,TRUE,"DATE CORRECTED: vote was 2026-04-22 (a Tuesday), not April 21 as the source doc states. Passed 6-0."
Orange,Town of Hillsborough,municipal,adopted,"moratorium (initial 60-day, then extended)",data centers,"60 days, extended to 1 year on 2026-06-22",365,2026-05-27,,2027-05-27,FALSE,"Town has very constrained water and sewer capacity and could not support a hyperscale data center; ordinances don't currently define data centers as a land use, so the pause buys time to draft regulations. No data center was proposed at the time.",https://www.hillsboroughnc.gov/Home/Components/News/News/1102/14,Town of Hillsborough (official) / Chapelboro,high,TRUE,TRUE,"RESOLVED 2026-08-28 from official minutes (June 22 2026 work session): 'Ferguson moved to adopt an ordinance extending the 60-day moratorium on data centers as a land use to one year. Hughes seconded. Vote: 3-0.' Ordinance runs 'up to and including and expiring on May 27, 2027 or on approval of new zoning regulations' — expiration PRINTED. Note the term is keyed to the ORIGINAL 2026-05-27 adoption, not the June 22 extension vote. Minutes: mccmeetings.blob.core.usgovcloudapi.net/hillsbronc-pubu/MEET-Minutes-36caa332171b4152bb40fd7e4b873a9b.pdf"
Pamlico,Pamlico County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Pasquotank,Pasquotank County,county,adopted,moratorium,data centers,12 months,365,2026-05-18,,2027-05-18,TRUE,'A 12-month moratorium will ensure that we could have adequate time to develop regulations for these types of developments'; existing zoning allowed approval without full review.,https://www.dailyadvance.com/news/local/county-puts-12-month-freeze-on-data-center-development/article_8c03c9d3-1683-4cd2-87f0-337124c82510.html,The Daily Advance,high,TRUE,TRUE,"DATE CORRECTED: adopted 2026-05-18, not June 2026 as the source doc states. One source gives expiration as 2027-05-17."
Pender,Pender County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Perquimans,Perquimans County,county,pending_vote,moratorium — public hearing scheduled,data centers,unknown,,,,,,"Public hearing 2026-09-08, 7:00 p.m., Perquimans County Library, covering a data center moratorium alongside a lawn maintenance ordinance and a flood prevention update.",https://www.perquimanscountync.gov/board-of-commissioners,Perquimans County official public hearing notice,high,TRUE,FALSE,UPGRADED from unverified. Official Notice of Public Hearing confirms a data center moratorium is scheduled for hearing 2026-09-08. Draft ordinance text and proposed duration not yet public (August packets are image-only scans).
Person,Person County,county,none,approved a data center campus,,,,,,,,"County approved Microsoft's 1,385-acre data center campus rather than pausing development.",https://carolinapublicpress.org/75853/data-centers-moratorium-fever-for-nc-local-governments/,Carolina Public Press,medium,TRUE,TRUE,No moratorium. Included as a contrast case.
Pitt,Pitt County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Pitt,Town of Farmville,municipal,adopted,moratorium,data centers,12 months,365,2026-08-04,,2027-08-04,TRUE,"Mayor Alex Joyner said the year gives the board time to gather more information before deciding: 'we don't have enough data to do that.' Residents cited environmental impact, water usage and utility-rate concerns. Board is not ruling out a future data center.",https://www.witn.com/2026/08/04/farmville-board-adopts-12-month-moratorium-potential-data-center-after-residents-voice-opposition/,WITN / WRAL,high,TRUE,TRUE,"CORRECTION: source doc lists this under 'Pitt County: 1-year moratorium.' It is a TOWN OF FARMVILLE action (unanimous Town Board vote), not a county one. No Pitt County moratorium found. Proposal originated with East Energy Renewables (Farmville-headquartered) in Feb 2026."
Polk,Polk County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Randolph,Randolph County,county,regulated_no_moratorium,ordinance restrictions adopted instead of moratorium,"data centers (conditional zoning, impact/sound studies, closed-loop cooling, generator limits, decommissioning bonds)",permanent regulations,,2026-08-04,,,,"County Attorney Ben Morgan: 'You cannot adopt an ordinance that says no data centers' without inviting legal challenge, so the board chose the most stringent legally defensible restrictions rather than a pause.",https://randolphhub.com/article/news/randolph-county-commissioners-adopt-data-center-restrictions-after-packed-hours-long-public-hearing,Randolph Hub / WUNC,high,TRUE,TRUE,"CORRECTION: source doc says 'considering a 120-day moratorium.' County unanimously adopted ordinance amendments on 2026-08-04 instead - impact studies within 1,000 ft, sound studies, closed-loop cooling, generator limits, decommissioning bonds, mandatory conditional-zoning hearings. Proactive; no application received."
Richmond,Richmond County,county,citizen_request,petition for a moratorium,data centers,12 months (petitioned),365,,,,,A citizen petition calls for a 12-month moratorium on data centers in Richmond County.,"https://richmondobserver.com/stories/petition-calls-for-12-month-moratorium-on-data-centers-in-richmond-county,104048",Richmond Observer,high,TRUE,FALSE,Petition only; no government action.
Robeson,Robeson County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Rockingham,Rockingham County,county,none,welcoming data center investment,,,,,,,,County touts a $1 billion AI data center investment in the Town of Madison.,https://www.rockinghamcountync.gov/news/6493,Rockingham County (official),high,TRUE,TRUE,"No moratorium. Note the 'Town of Madison' here is in Rockingham County, not Madison County - a common confusion."
Rowan,Rowan County,county,adopted,moratorium,data centers,1 year,365,2026-04-20,,2027-04-20,TRUE,"Response to resident opposition (nearly 30 speakers) over noise, heat-island effect, water usage and environmental impact tied to a developer's land near an existing project.",https://www.wbtv.com/2026/04/21/rowan-county-commission-passes-data-center-moratorium/,WBTV,high,TRUE,TRUE,"Source URL and exact date added. County-level action (Board of Commissioners), not Salisbury or Kannapolis. An existing Long Ferry Road project was exempted under state law. WFAE dated its story Apr 21; the vote was the night of Apr 20."
Rowan,City of Salisbury,municipal,regulated_no_moratorium,zoning text amendment instead of moratorium,"data centers (size, noise and water restrictions)",permanent regulations,,2026-06-02,,,,"City declined a moratorium and instead adopted a zoning text amendment allowing data centers subject to size, noise and water restrictions.",https://www.wbtv.com/2026/04/21/rowan-county-commission-passes-data-center-moratorium/,WBTV,medium,FALSE,TRUE,NOT IN SOURCE DOC. Included because it is the county seat and took the opposite approach from Rowan County.
Rutherford,Rutherford County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Sampson,Sampson County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Scotland,Scotland County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Stanly,Stanly County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Stokes,Stokes County,county,rejected,moratorium rejected 3-2,data centers,6 months (proposed),182,,,,,Commissioner Sonya Cox said 'a formal pause wasn't necessary' and the board would not be rushed into a decision on future proposals.,https://www.wfdd.org/politics-government/2026-07-14/stokes-commission-rejects-six-month-data-center-moratorium,WFDD / AOL,high,TRUE,TRUE,"Exact date added: vote 2026-07-14, 3-2 against, rejecting the county planning board's recommendation. Tied to the 'Project Delta' data center proposal."
Surry,Surry County,county,adopted,moratorium,data centers,2 years,730,2026-07-21,,2028-07-21,TRUE,"Existing rules don't address data centers' high energy/water use and noise; extension also requires the board to appoint a steering committee to research the issue, tour data centers and consult power providers and environmental officials.",https://www.wunc.org/2026-07-21/surry-county-enacts-two-year-data-center-development-moratorium,WUNC / WFDD,high,TRUE,FALSE,"Extension of an initial 60-day pause enacted the week of June 1-3, 2026 (exact day not stated in available sources). County Attorney Howard Jones: 'There is a lot of polarized information out there.'"
Surry,City of Mount Airy,municipal,adopted,moratorium,new or expanded data centers and cryptocurrency mining in zoned areas,60 days (90-day extension recommended),60,2026-07-16,,2026-09-14,TRUE,"Commissioner Chad Hutchens: 'It's not anti-business. It's being reactive to where it's better for us, and it's better for whoever the developer may be down the road.'",https://www.mtairynews.com/news/planners-plow-ahead-on-data-centers-but-need-more-time/article_ddede553-9cb8-425e-ab68-bfa4dd49e01f.html,Mount Airy News / WFDD / Moratorium Nation,medium,FALSE,TRUE,"PROMOTED from unverified lead to record. Adopted 2026-07-16, unanimous, 60 days; Ordinance No. 2027-002 per tracker (unverified — city numbers by fiscal year). TIME-SENSITIVE: the Planning Board voted to add 90 days (150 days total) and met 2026-08-24; an extension goes to commissioners for public hearing, so the 2026-09-14 expiration is likely already superseded."
Swain,Swain County,county,adopted,moratorium,data centers,12 months,365,2026-04-21,,2027-04-21,TRUE,"Water usage, energy consumption comparable to a power plant's annual output, noise and visual impacts; 12 months to research a stricter, longer-term ordinance.",https://www.bpr.org/climate-environment/2026-04-22/swain-county-unanimously-passes-data-center-moratorium,Blue Ridge Public Radio,high,TRUE,TRUE,Source URL added. Unanimous vote.
Transylvania,Transylvania County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Transylvania,City of Brevard,municipal,expired_superseded,"moratorium, then permanent zoning ordinance",data centers,90 days,90,2026-03-16,,2026-07-02,TRUE,Not stated with a direct quote in available sources; regional reporting cites water/power consumption and noise concerns common to WNC moratorium debates.,https://www.northcarolinahealthnews.org/2026/03/25/nc-communities-push-back-ai-data-centers-project-delta-lawsuit/,NC Health News / Moratorium Nation tracker,medium,TRUE,TRUE,"MAJOR CORRECTION: source doc says '1-year moratorium (September 2025).' Multiple sources describe a 90-DAY moratorium adopted March 2026, later superseded by permanent zoning Ordinance 2026-19 (adopted 2026-05-18) restricting data centers to industrial districts. Transylvania COUNTY itself has no ordinance and says it is 'not pursuing their development.'"
Tyrrell,Tyrrell County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Union,Union County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Union,Town of Waxhaw,municipal,adopted,moratorium,data centers,12 months,365,2026-08-11,,2027-08-11,TRUE,Mayor Robert Murray III: 'The main reason for doing it is because we want to make sure we don't get caught unprepared... implementing this immediately is a key aspect.' Time to amend the land development code and close regulatory loopholes.,https://www.wbtv.com/2026/08/13/town-waxhaw-unanimously-approved-12-month-moratorium-data-centers/,WBTV,high,TRUE,TRUE,"Exact date added. Unanimous Board of Commissioners vote after an Aug 11 (Tuesday) public hearing. WSOX reported 'Tuesday, August 13' but Aug 13 2026 is a Thursday; Aug 11 is correct."
Vance,Vance County,county,none,considering the issue; no moratorium,,,,,,,,County is considering the issue but has not enacted any type of moratorium; a project-related rezoning occurred in April 2026 instead.,https://carolinapublicpress.org/75853/data-centers-moratorium-fever-for-nc-local-governments/,Carolina Public Press / apdillon.substack.com,low,TRUE,TRUE,No moratorium.
Wake,Wake County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Wake,City of Raleigh,municipal,none,no moratorium considered,,,,,,,,"Raleigh is the largest city in NC without a data center moratorium; a proposed southeast Raleigh project was withdrawn 2026-08-16 after public opposition, but no moratorium was passed.",https://ncnewsline.com/2026/08/17/three-more-nc-localities-weigh-pauses-on-data-centers-as-developer-backs-away-from-raleigh-project/,NC Newsline / WRAL,high,FALSE,TRUE,NOT IN SOURCE DOC. Added as a notable negative case. Wake County government has likewise not considered one.
Wake,Town of Apex,municipal,adopted,moratorium,data centers,12 months,365,2026-04-14,2026-04-28,2027-04-27,FALSE,"Concern over electricity and water use, greenhouse gas, e-waste and noise impacts; time to draft zoning standards consistent with the Advance Apex 2045 plan. Followed opposition to the proposed New Hill Digital Campus, later withdrawn.",https://www.wral.com/news/local/apex-public-hearing-data-center-april-2026/,Town of Apex ordinance / WRAL,high,TRUE,TRUE,"CONFIRMED 2026-08-29 from the ordinance: 'A temporary moratorium is hereby imposed commencing on April 28, 2026, and expiring no later than April 27, 2027.' PRINTED DATE. Note two distinct dates: council ADOPTED 2026-04-14; the moratorium COMMENCES 2026-04-28. Sources listing 'adopted 4/28' or 'adopted 4/14, 12 months' are each half-right. Followed opposition to the New Hill Digital Campus, later withdrawn."
Wake,Town of Cary,municipal,adopted,moratorium,"data centers over 1 MW — development approvals, rezonings, development plans and building permits",18 months,548,2026-08-27,2026-08-27,2028-02-26,FALSE,"Cary's development code has no data center standards; the pause buys time to study land use, water and electricity impacts.",https://carync.iqm2.com/Citizens/FileOpen.aspx?Type=4&ID=25984&MeetingID=6214,Town of Cary IQM2 — adopted ordinance,high,FALSE,TRUE,"ADOPTED 2026-08-27 (confirmed against Cary's own IQM2 calendar; WRAL and GovTech both print 'Thursday, August 28' — Aug 28 was a Friday). Ordinance Section 1: 'A temporary moratorium is hereby imposed, commencing on August 27, 2026 and expiring no later than February 26, 2028, or upon Council's adoption of the resulting Land Development Ordinance amendments...' PRINTED DATE 2028-02-26. Exemption amended on the floor from under 25 MW to under 1 MW, making it far broader. LONGEST MORATORIUM ADOPTED BY ANY NC MUNICIPALITY — but NOT the longest in the state; Northampton County's 32 months is. Unanimous per news; no numeric tally published."
Wake,Town of Holly Springs,municipal,adopted,moratorium,data centers,1 year,365,2026-06-16,,2027-06-16,TRUE,"Resident concerns about health effects, noise pollution and reduced property values; council wanted to study impacts preemptively even though the town had no proposed or existing data center sites.",https://www.hollyspringsnc.gov/m/newsflash/Home/Detail/1728,Town of Holly Springs (official),high,TRUE,TRUE,"Exact date added. An automated read of the WRAL article returned 'June 17,' but that was a Wednesday; two independent sources give Tuesday June 16."
Wake,Town of Wendell,municipal,adopted,moratorium,data centers; cryptocurrency mining,~8.5 months (through year end),262,2026-04-13,,2026-12-31,FALSE,"Time to study impacts of digital infrastructure on public infrastructure, environment, land-use compatibility and community character, and to update the UDO, which does not clearly define data centers or crypto mining.",https://townofwendellnc.gov/departments/planning/data_center_moratorium.php,Town of Wendell (official),high,TRUE,TRUE,Exact date added. No active data center projects were pending at adoption. Town FAQ cites the NC statutory 'reasonable duration' standard rather than printing a hard end date; Dec 31 2026 from local news and a tracker.
Warren,Warren County,county,adopted,moratorium,"development approvals for data centers and related high-impact facilities (special/conditional use permits, rezonings, building permits)",12 months,365,2026-08-19,,2027-08-19,FALSE,"Ordinance cites N.C.G.S. 160D-107 and suspends special use permits, conditional use permits, zoning map amendments, building permits and other development approvals.",https://warrencountync.portal.civicclerk.com/event/478/files,Warren County CivicClerk agenda packet / The Warren Record,high,TRUE,TRUE,"RESOLVED 2026-08-28 — the moratorium IS real. Adopted at a WORK SESSION on 2026-08-19 (not a regular meeting), which is why every prior search missed it. Ordinance: 'AN ORDINANCE IMPOSING A TEMPORARY MORATORIUM ON DEVELOPMENT APPROVALS FOR DATA CENTERS AND RELATED FACILITIES', running 'from August 19, 2026 until 11:59 p.m. August 19, 2027' — expiration PRINTED, not inferred. Signed Al Cooper, Chair; attested Paula Pulley, Clerk. Vote tally not yet public; Aug 19 minutes due for approval 2026-09-08. RE-VERIFIED 2026-08-29 against the CivicClerk primary record. Ordinance verbatim: 'This Ordinance shall be in full force and effect from August 19, 2026 until 11:59 p.m. August 19, 2027, unless earlier terminated, extended, or modified by the Board in accordance with North Carolina law.' Vote tally still unavailable — no minutes posted for Event 478."
Washington,Washington County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Watauga,Watauga County,county,adopted,moratorium,data centers,1 year,365,2026-04-21,,2027-04-21,TRUE,"Commissioners cited grid capacity, water use of roughly 1.5 million gallons per day, diesel generator noise and air pollution, and minimal job creation.",https://www.wataugademocrat.com/news/county-commissioners-pass-a-one-year-data-center-moratorium-for-watauga-county/article_012ca886-b088-4aee-8321-6b0f851fcdca.html,Watauga Democrat / WFDD,medium-high,FALSE,TRUE,"NOT IN SOURCE DOC — a genuine gap. Unanimous, adopted 2026-04-21, two days BEFORE the Town of Boone's separate 2026-04-23 moratorium. The dataset previously had Boone but not the county. RE-VERIFIED 2026-08-29 against the Watauga Democrat plus a WataugaOnline meeting preview (2026-04-20) describing a Tuesday 5:30pm meeting with a data-center public hearing; Apr 21 2026 was a Tuesday. NO PRIMARY GOVERNMENT RECORD OBTAINED — watgov.org fails TLS with a certificate hostname mismatch. Two news sources plus a tracker."
Watauga,Town of Boone,municipal,adopted,moratorium,data centers; cryptocurrency mining,1 year,365,2026-03-23,,2027-03-23,TRUE,"Mayor Dalton George: the pause is to 'get ahead of it, recognizing the challenges that data centers pose for communities like ours,' giving officials time to study environmental and economic impacts before any project is proposed.",https://www.wfae.org/2026-03-23/boone-approves-data-center-development-moratorium,WFAE,high,TRUE,FALSE,"Confirms the source doc's correction from 90 days to 1 year. Unanimous 5-0 vote. No source anywhere supports a 90-day figure for Boone. DATE RE-CONFIRMED 2026-08-29: WUNC published 2026-03-23 8:36pm reporting the vote 'Monday night'; March 23 2026 was a Monday. Vote 5-0. WataugaOnline prints 'Monday, March 24' which is internally impossible (Mar 24 was a Tuesday) and is the source of date drift."
Wayne,Wayne County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Wilkes,Wilkes County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
Wilson,Wilson County,county,none,no county-level action found,,,,,,,,,,,medium,TRUE,,Municipality/-ies within the county acted; the county government itself has no moratorium on record as of 2026-08-21.
Wilson,City of Wilson,municipal,adopted,moratorium,data centers; cryptocurrency mining; battery storage,12 months,365,2026-05-21,,2027-05-21,TRUE,Not retrievable from the primary source (wilsontimes.com blocks automated access); scope confirmed via two independent trackers.,https://www.wilsontimes.com/news/city-council-approves-data-center-moratorium-25f2bcbd,The Wilson Times,medium,TRUE,TRUE,"CORRECTION: source doc lists this under 'Wilson County.' It is a CITY OF WILSON council action. Caution: searches surface an unrelated Wilson County, TENNESSEE story."
Yadkin,Yadkin County,county,adopted,moratorium,data centers,2 years,730,2026-08-18,,2028-08-18,TRUE,"After extensive public opposition (water use, farmland impact, property values, low-frequency noise health concerns, AI job displacement) commissioners extended a proposed 12-month moratorium to two years.",https://www.yadkinripple.com/news/moratorium-approved-for-yadkin-county-as-potential-yadkinville-data-center-project-announced/article_485d48fb-c61b-4167-b885-3d469e9a6bbe.html,Yadkin Ripple,high,TRUE,TRUE,"Exact date added. Unanimous 5-0. Applies only to UNINCORPORATED areas; incorporated Yadkinville is not covered. DATE CAUTION 2026-08-29: WFDD (published Mon 2026-08-24) says commissioners approved the two-year pause 'last Monday', i.e. ~2026-08-17, not 08-18. Treat the adoption date as approximate pending the ordinance."
Yancey,Yancey County,county,none,no action found,,,,,,,,,,,medium,TRUE,,Listed as N/A in the source document; no data center moratorium found as of 2026-08-21.
